,resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId
22328,22331,909,20,9,1,6,4,4,4,12.0,67,+44.014,5666928,39,10,1:21.545,201.930,1
22353,22356,910,20,9,1,2,7,7,7,6.0,70,+40.964,6826022,52,9,1:28.746,177.716,1
22373,22377,911,20,9,1,3,5,5,5,10.0,44,+52.196,5128752,36,5,1:52.953,223.229,1
22396,22400,912,20,9,1,8,6,6,6,8.0,53,+59.965,4810201,34,10,1:29.141,233.952,1
22414,22418,913,20,9,1,4,2,2,2,18.0,60,+13.534,7218329,27,8,1:52.519,162.052,1
22437,22441,914,20,9,1,9,3,3,3,15.0,44,+29.122,6732143,32,3,1:51.915,186.795,1
22464,22468,915,20,9,1,10,8,8,8,4.0,53,+1:06.185,5576929,53,8,1:42.630,205.133,1
22484,22488,916,20,9,1,18,7,7,7,6.0,56,+1:35.734,6100519,50,1,1:41.379,195.768,1
22500,22504,917,20,9,1,6,5,5,5,10.0,71,+51.420,5453975,68,5,1:14.018,209.576,1
22521,22525,918,20,9,1,19,8,8,8,8.0,55,+1:12.045,6014664,51,3,1:45.552,189.427,1
22536,22540,926,20,6,5,4,3,3,3,15.0,58,+34.523,5548590,52,4,1:31.457,208.740,1
22552,22556,927,20,6,5,2,1,1,1,25.0,56,1:41:05.793,6065793,46,3,1:43.648,193.501,1
22574,22578,928,20,6,5,3,3,3,3,15.0,56,+2.988,5984996,15,5,1:43.018,190.487,1
22596,22600,929,20,6,5,2,5,5,5,10.0,57,+43.989,5749798,38,2,1:36.624,201.639,1
22614,22618,930,20,6,5,3,3,3,3,15.0,66,+45.342,6117897,61,6,1:30.737,184.687,1
22633,22637,931,20,6,5,3,2,2,2,18.0,78,+4.486,6562906,75,4,1:18.854,152.347,1
22656,22660,932,20,6,5,18,5,5,5,10.0,70,+49.903,5563048,59,2,1:17.105,203.613,1
22675,22679,933,20,6,5,3,4,4,4,12.0,71,+18.181,5435111,44,3,1:11.499,217.815,1
22694,22698,934,20,6,5,6,3,3,3,15.0,52,+25.443,5513172,31,6,1:37.707,217.053,1
22712,22716,936,20,6,5,3,1,1,1,25.0,69,1:46:09.985,6369985,63,5,1:26.772,181.759,1
22743,22747,937,20,6,5,8,12,12,12,0.0,42,,,29,14,1:55.316,218.654,27
22753,22757,938,20,6,5,3,2,2,2,18.0,53,+25.042,4705730,52,3,1:27.376,238.678,1
22772,22776,939,20,6,5,1,1,1,1,25.0,61,2:01:22.118,7282118,53,2,1:50.069,165.659,1
22794,22798,940,20,6,5,4,3,3,3,15.0,53,+20.850,5307358,32,3,1:37.906,213.523,1
22813,22817,941,20,6,5,4,2,2,2,18.0,53,+5.953,5836977,51,1,1:40.071,210.378,1
22834,22839,942,20,6,5,13,3,3,3,15.0,56,+3.381,6656084,52,3,1:41.330,195.863,1
22874,22879,944,20,6,5,3,3,3,3,15.0,71,+14.244,5483334,57,3,1:15.046,206.705,1
22895,22900,945,20,6,5,15,4,4,4,12.0,55,+43.735,5953910,48,2,1:44.550,191.242,1
22914,22919,948,20,6,5,3,3,3,3,15.0,57,+9.643,6505208,23,2,1:29.951,212.235,1
22957,22962,950,20,6,5,4,2,2,2,18.0,56,+37.776,5971667,37,9,1:40.610,195.046,1
